시각,종목코드,종목명,현재가,누적거래량
12:48,000240,한국앤컴퍼니,24500,27438
12:48,001720,신영증권,141900,3648
12:48,005850,에스엘,49900,23842
12:48,483650,달바글로벌,182400,103266
12:48,018670,SK가스,244500,3014
12:48,204320,HL만도,47450,164047
12:48,058610,에스피지,100000,153841
12:48,103140,풍산,78700,34332
12:48,020150,롯데에너지머티리얼즈,41650,198208
12:48,263750,펄어비스,34800,111729
12:48,279570,케이뱅크,5400,247945
12:48,214370,케어젠,40550,24884
12:48,009970,영원무역홀딩스,167200,3130
12:48,069960,현대백화점,100000,34509
12:48,005290,동진쎄미켐,42250,171205
12:48,112610,씨에스윈드,50600,171453
12:48,178320,서진시스템,33000,472243
12:48,051600,한전KPS,46650,34018
12:48,030530,원익홀딩스,26800,2394826
12:48,347850,디앤디파마텍,44700,260189
12:48,081660,미스토홀딩스,38700,51140
12:48,002790,아모레퍼시픽홀딩스,26750,69341
12:48,139480,이마트,73400,37116
12:48,214150,클래시스,30800,75172
12:48,043260,성호전자,26500,4194747
12:48,030000,제일기획,17370,117275
12:48,073240,금호타이어,6905,631037
12:48,007070,GS리테일,23450,64423
12:48,457190,이수스페셜티케미컬,64500,35338
12:48,083650,비에이치아이,62200,205488
12:48,041510,에스엠,84500,58274
12:48,098460,고영,28350,550786
12:48,237690,에스티팜,91200,33865
12:48,000155,두산우,476000,12100
12:48,437730,삼현,58200,2663915
12:48,229640,LS에코에너지,60200,170069
12:48,462870,시프트업,30800,13584
12:48,181710,NHN,55800,60741
12:48,089860,롯데렌탈,49200,49846
12:48,140860,파크시스템스,252500,5464
12:48,036540,SFA반도체,10900,21687814
12:48,089030,테크윙,47500,762934
12:48,439260,대한조선,46300,15571
12:48,068760,셀트리온제약,39600,23291
12:48,071970,HD현대마린엔진,51100,62280
12:48,131970,두산테스나,89600,345012
12:48,120110,코오롱인더,57300,68094
12:48,475150,SK이터닉스,50100,324530
12:48,060370,LS마린솔루션,32600,94675
12:48,023590,다우기술,39400,8181
12:48,001120,LX인터내셔널,42250,52581
12:48,000120,CJ대한통운,70800,14957
12:48,020560,아시아나항공,7730,28648
12:48,218410,RFHIC,60200,848512
12:48,096530,씨젠,34250,140775
12:48,395400,SK리츠,5270,151983
12:48,007390,네이처셀,24700,57846
12:48,008770,호텔신라,40450,55278
12:48,006040,동원산업,35750,11236
12:48,001430,세아베스틸지주,43800,74843
12:48,294870,IPARK현대산업개발,23750,63474
12:48,183300,코미코,30350,200440
12:48,012630,HDC,25900,38724
12:48,001820,삼화콘덴서,145200,927278
12:48,281820,케이씨텍,75600,113890
12:48,093370,후성,13850,1937665
12:48,009155,삼성전기우,510000,15392
12:48,006280,녹십자,126400,13453
12:48,011210,현대위아,53800,25593
12:48,001800,오리온홀딩스,24200,20326
12:48,204270,제이앤티씨,24750,2037309
12:48,089970,브이엠,54400,230742
12:48,0009K0,에임드바이오,21750,62559
12:48,323280,태성,45500,74086
12:48,241710,코스메카코리아,130700,28603
12:48,078600,대주전자재료,88400,89778
12:48,298020,효성티앤씨,320500,3206
12:48,039200,오스코텍,36050,47796
12:48,097230,HJ중공업,15170,145166
12:48,420770,기가비스,108100,49755
12:48,035900,JYP Ent.,38500,64160
12:48,005070,코스모신소재,40950,39143
12:48,00680K,미래에셋증권2우B,10515,91387
12:48,322000,HD현대에너지솔루션,118400,268102
12:48,361610,SK아이이테크놀로지,16130,157557
12:48,082920,비츠로셀,29300,75744
12:48,950160,코오롱티슈진,15280,656047
12:48,007310,오뚜기,317000,1104
12:48,069620,대웅제약,109100,4285
12:48,007810,코리아써키트,52200,61349
12:48,003540,대신증권,26300,24192
12:48,415640,KB발해인프라,10180,105211
12:48,192080,더블유게임즈,58400,10706
12:48,001740,SK네트웍스,6140,476995
12:48,290650,엘앤씨바이오,45675,26319
12:48,003380,하림지주,10940,210777
12:48,127120,제이에스링크,33100,198152
12:48,000815,삼성화재우,407000,4733
12:48,347700,스피어,23550,686977
12:48,300720,한일시멘트,16260,23605
12:48,066575,LG전자우,69400,42154
12:48,280360,롯데웰푸드,127800,4822
12:48,330590,롯데리츠,4055,84650
12:48,004000,롯데정밀화학,44700,25272
12:48,030610,교보증권,10010,8113
12:48,232140,와이씨,14060,8311351
12:48,166090,하나머티리얼즈,56400,64130
12:48,000210,DL,52800,16820
12:57,005930,삼성전자,273750,14356380
12:57,000660,SK하이닉스,1876500,1637857
12:57,005935,삼성전자우,208000,2886637
12:57,402340,SK스퀘어,1130000,309661
12:57,009150,삼성전기,1421000,328145
12:57,373220,LG에너지솔루션,353500,206334
12:57,005380,현대차,360000,243192
12:57,207940,삼성바이오로직스,1403000,11040
12:57,105560,KB금융,177800,404615
12:57,028260,삼성물산,367500,167809
12:57,032830,삼성생명,292500,193116
12:57,012450,한화에어로스페이스,1072000,65070
12:57,034020,두산에너빌리티,85500,1043193
12:57,055550,신한지주,113700,498619
12:57,329180,HD현대중공업,450500,74232
12:57,000270,기아,119900,382699
12:57,006400,삼성SDI,532000,167062
12:57,068270,셀트리온,181700,131171
12:57,034730,SK,575000,58455
12:57,086790,하나금융지주,135700,259378
12:57,012330,현대모비스,373000,117396
12:57,066570,LG전자,200000,236850
12:57,010120,LS ELECTRIC,207500,179540
12:57,035420,NAVER,197800,318353
12:57,000810,삼성화재,653000,20683
12:57,298040,효성중공업,2909000,16751
12:57,316140,우리금융지주,36500,631546
12:57,267260,HD현대일렉트릭,716000,29483
12:57,005490,POSCO홀딩스,320250,89260
12:57,042660,한화오션,82000,278161
12:57,009540,HD한국조선해양,337500,61889
12:57,096770,SK이노베이션,140100,361193
12:57,010130,고려아연,1125000,5130
12:57,000150,두산,1428000,52023
12:57,042700,한미반도체,236500,200463
12:57,138040,메리츠금융지주,129500,85312
12:57,015760,한국전력,30800,416518
12:57,011200,HMM,20950,226597
12:57,017670,SK텔레콤,87800,355959
12:57,051910,LG화학,261500,78819
12:57,010140,삼성중공업,20650,1166765
12:57,033780,KT&G,174300,86838
12:57,196170,알테오젠,256500,117295
12:57,010950,S-Oil,154200,177976
12:57,018260,삼성에스디에스,224500,73376
12:57,006800,미래에셋증권,31700,366437
12:57,003550,LG,111350,64894
12:57,267250,HD현대,210500,74794
12:57,079550,LIG디펜스앤에어로스페이스,734000,105052
12:57,024110,기업은행,20100,275151
12:57,003670,포스코퓨처엠,178400,136307
12:57,086280,현대글로비스,201500,85083
12:57,272210,한화시스템,77800,1235079
12:57,035720,카카오,33300,710025
12:57,000720,현대건설,126400,251070
12:57,278470,에이피알,367000,72179
12:57,030200,KT,53400,132797
12:57,064350,현대로템,120100,143241
12:57,047810,한국항공우주,130200,82567
12:57,005830,DB손해보험,188000,52767
12:57,011070,LG이노텍,520000,88910
12:57,086520,에코프로,79900,307665
12:57,003490,대한항공,28850,604919
12:57,078930,GS,113800,92858
12:57,443060,HD현대마린솔루션,234000,34277
12:57,071050,한국금융지주,183700,56687
12:57,028050,삼성E&A,51800,1088164
12:57,047050,포스코인터내셔널,57700,406494
12:57,247540,에코프로비엠,102900,122666
12:57,006260,LS,319500,60674
12:57,307950,현대오토에버,361500,21640
12:57,003230,삼양식품,1289000,9811
12:57,323410,카카오뱅크,20400,275227
12:57,036930,주성엔지니어링,206500,442772
12:57,005940,NH투자증권,25900,213861
12:57,000500,가온전선,310500,247008
12:57,180640,한진칼,138400,23342
12:57,259960,크래프톤,200500,27404
12:57,090430,아모레퍼시픽,146000,109854
12:57,277810,레인보우로보틱스,439000,19887
12:57,0126Z0,삼성에피스홀딩스,329000,12778
12:57,007660,이수페타시스,108500,951664
12:57,016360,삼성증권,87700,149275
12:57,047040,대우건설,18480,3668816
12:57,161390,한국타이어앤테크놀로지,59000,100220
12:57,352820,하이브,164100,74072
12:57,021240,코웨이,99500,72284
12:57,000880,한화,130000,51993
12:57,039490,키움증권,263500,16132
12:57,064400,LG씨엔에스,69600,235574
12:57,267270,HD건설기계,136700,100878
12:57,128940,한미약품,507000,20373
12:57,240810,원익IPS,129800,1178054
12:57,062040,산일전기,203750,106196
12:57,009830,한화솔루션,27650,1088471
12:57,032640,LG유플러스,14480,798359
12:57,326030,SK바이오팜,78100,47968
12:57,005387,현대차2우B,174000,72761
12:57,001440,대한전선,30000,2555404
12:57,039030,이오테크닉스,473500,43621
12:57,175330,JB금융지주,30950,155707
12:57,241560,두산밥캣,58400,73959
12:57,000100,유한양행,75900,82858
